epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,141.281,1.66172,0.48952,0.97304,1.32939,0.00998261,0.00332754,0.00998261,0.00332754,0.00998261,0.00332754,0.00998261,0.00332754
2,282.477,1.21744,0.58687,0.97654,1.10885,0.0189935,0.00633116,0.0189935,0.00633116,0.0189935,0.00633116,0.0189935,0.00633116
3,427.126,1.07448,0.60035,0.97953,1.08874,0.0270143,0.00900478,0.0270143,0.00900478,0.0270143,0.00900478,0.0270143,0.00900478
4,567.133,1.00154,0.61807,0.98502,1.01122,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,705.874,0.93372,0.63779,0.98827,0.96839,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,844.515,0.88827,0.65152,0.98927,0.97396,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,983.426,0.85115,0.66825,0.98977,0.917,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,1132.04,0.81776,0.66026,0.99151,0.92779,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,1294.31,0.79161,0.6665,0.99101,0.9171,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,1438.52,0.77186,0.67249,0.99101,0.88474,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,1597.24,0.7511,0.67649,0.99051,0.90894,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,1756.39,0.73368,0.67649,0.99201,0.88804,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,1916.86,0.71247,0.68697,0.99051,0.86436,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,2074.08,0.68974,0.68947,0.99276,0.86268,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,2227.78,0.66535,0.69146,0.99226,0.88562,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,2384.58,0.65043,0.69046,0.99276,0.84981,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,2536.48,0.62859,0.69621,0.99401,0.84935,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,2682.34,0.61162,0.69795,0.99401,0.84943,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,2827.18,0.59836,0.69496,0.99351,0.84947,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,2973.57,0.57832,0.69995,0.99201,0.84013,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
