epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,568.575,1.56419,0.54976,0.97407,1.19555,0.000302663,0.000302663,0.000302663
2,1025.31,1.23662,0.58517,0.98411,1.10187,0.000575682,0.000575682,0.000575682
3,1382.59,1.15786,0.60524,0.98606,1.04934,0.000818705,0.000818705,0.000818705
4,1742.61,1.11331,0.63256,0.98606,1.00151,0.000774013,0.000774013,0.000774013
5,2112.69,1.067,0.63563,0.98913,0.97232,0.000729018,0.000729018,0.000729018
6,2484.21,1.01952,0.63312,0.98941,0.97461,0.000684022,0.000684022,0.000684022
7,2855.95,0.99809,0.64399,0.98941,0.93926,0.000639027,0.000639027,0.000639027
8,3329.48,0.96839,0.65933,0.99192,0.93039,0.000594031,0.000594031,0.000594031
9,3773.14,0.94735,0.65877,0.99108,0.89602,0.000549036,0.000549036,0.000549036
10,4188.48,0.92252,0.67159,0.9908,0.94281,0.00050404,0.00050404,0.00050404
11,4623.63,0.90605,0.67299,0.99024,0.89846,0.000459045,0.000459045,0.000459045
12,5029.36,0.87937,0.6688,0.99247,0.91928,0.000414049,0.000414049,0.000414049
13,5513.78,0.86498,0.67243,0.99052,0.8838,0.000369054,0.000369054,0.000369054
14,6252.07,0.84285,0.67856,0.99275,0.8754,0.000324058,0.000324058,0.000324058
15,6709.19,0.82216,0.67689,0.99247,0.89659,0.000279063,0.000279063,0.000279063
16,7073.27,0.79955,0.67522,0.99331,0.89246,0.000234068,0.000234068,0.000234068
17,7468.85,0.78542,0.6833,0.99303,0.86868,0.000189072,0.000189072,0.000189072
18,7907.33,0.76775,0.68274,0.99303,0.87957,0.000144077,0.000144077,0.000144077
19,8350.59,0.75364,0.68274,0.99331,0.88562,9.9081e-05,9.9081e-05,9.9081e-05
20,8737.12,0.73777,0.68748,0.99303,0.90187,5.40855e-05,5.40855e-05,5.40855e-05
