epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,94.4062,1.67108,0.46583,0.94393,1.41647,0.00998983,0.00332994,0.00998983,0.00332994,0.00998983,0.00332994,0.00998983,0.00332994
2,190.969,1.31122,0.52138,0.95652,1.27059,0.0190003,0.00633344,0.0190003,0.00633344,0.0190003,0.00633344,0.0190003,0.00633344
3,288.392,1.2024,0.54364,0.95839,1.23212,0.0270208,0.00900694,0.0270208,0.00900694,0.0270208,0.00900694,0.0270208,0.00900694
4,388.829,1.14121,0.56829,0.9691,1.17281,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,486.261,1.07374,0.58681,0.97306,1.11088,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,585.699,1.03921,0.59628,0.97451,1.09091,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,683.823,1.01022,0.6046,0.97597,1.08593,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,782.176,0.98982,0.60834,0.97691,1.06848,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,883.292,0.96749,0.61188,0.97795,1.05443,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,980.968,0.94707,0.61843,0.97909,1.03573,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,1096.71,0.93262,0.61958,0.97951,1.02803,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,1195.3,0.91586,0.62488,0.98232,1.01409,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,1295.45,0.89418,0.62447,0.97888,1.017,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,1421.84,0.87755,0.62738,0.97909,1.01486,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,1541.06,0.85527,0.62499,0.97982,1.02487,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,1639.18,0.83683,0.62374,0.98055,1.01776,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,1738.26,0.81675,0.62592,0.98138,1.01911,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,1837.01,0.79401,0.62644,0.98138,1.01879,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,1935.76,0.77636,0.62655,0.98346,1.02139,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,2036.34,0.75145,0.62572,0.98325,1.02414,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
