epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,156.508,1.54138,0.52852,0.9568,1.27426,0.00998951,0.00332984,0.00998951,0.00332984,0.00998951,0.00332984,0.00998951,0.00332984
2,248.765,1.11747,0.59332,0.97042,1.10349,0.019,0.00633334,0.019,0.00633334,0.019,0.00633334,0.019,0.00633334
3,337.181,0.99733,0.60907,0.97244,1.05265,0.0270205,0.00900685,0.0270205,0.00900685,0.0270205,0.00900685,0.0270205,0.00900685
4,424.605,0.93699,0.63077,0.97531,1.01173,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,514.471,0.87339,0.64716,0.97925,0.95709,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,602.53,0.82881,0.66269,0.97819,0.91538,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,692,0.80844,0.66844,0.97819,0.89091,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,781.291,0.78386,0.6778,0.98021,0.87937,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,870.395,0.76165,0.6794,0.97968,0.87778,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,959.45,0.74469,0.6827,0.98063,0.86649,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,1099.05,0.72789,0.68653,0.98095,0.85976,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,1190.11,0.70965,0.69036,0.98361,0.8502,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,1280.83,0.69209,0.69196,0.98372,0.84497,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,1372.78,0.67353,0.69387,0.98361,0.84447,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,1464.49,0.65745,0.69568,0.98298,0.84723,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,1555.03,0.64088,0.69579,0.98298,0.84451,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,1642.65,0.62056,0.69589,0.98404,0.84451,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,1723.08,0.60066,0.69557,0.98457,0.84799,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,1803.21,0.58464,0.69642,0.98489,0.84851,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,1884.62,0.566,0.69568,0.9851,0.85083,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
