epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,45.3288,1.45755,0.63704,0.98127,0.99594,0.00998165,0.00332722,0.00998165,0.00332722,0.00998165,0.00332722,0.00998165,0.00332722
2,91.791,0.90104,0.72883,0.99552,0.75212,0.0189926,0.00633085,0.0189926,0.00633085,0.0189926,0.00633085,0.0189926,0.00633085
3,137.219,0.72429,0.7626,0.99446,0.67112,0.0270135,0.00900449,0.0270135,0.00900449,0.0270135,0.00900449,0.0270135,0.00900449
4,184.395,0.651,0.79082,0.9971,0.5928,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,230.222,0.56421,0.79267,0.9971,0.58784,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,277.193,0.52718,0.8201,0.99604,0.5005,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,324.669,0.48709,0.82485,0.99815,0.49255,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,371.997,0.46313,0.82221,0.99842,0.49962,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,419.351,0.43987,0.83751,0.99789,0.46915,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,466.456,0.41551,0.83171,0.99736,0.48398,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,526.488,0.4005,0.84068,0.99789,0.44479,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,573.507,0.38307,0.84701,0.99842,0.43046,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,620.81,0.3584,0.84964,0.99868,0.43344,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,668.246,0.35348,0.84991,0.99842,0.43342,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,714.975,0.33864,0.85808,0.99842,0.41538,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,762.26,0.32017,0.8565,0.99868,0.42551,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,809.552,0.3062,0.85835,0.99868,0.42345,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,857.176,0.29304,0.8594,0.99842,0.41209,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,904.496,0.2804,0.8594,0.99842,0.41636,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,951.713,0.26958,0.85888,0.99842,0.41924,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
